"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"11420","11380625"
"11421","11380625"
"11422","11380625"
"11424","11380625"
"11425","11380625"
"114258","11320670"
"11426","11380625"
"11428","11380625"
"11429","11380625"
"11430","11380625"
"11431","11380625"
"11432","11380625"
"11433","11380625"
"114334","11500620"
"11435","11380625"
"11436","11380625"
"114360","11470540"
"11437","11380625"
"11438","11380625"
"11439","11380625"
"11440","11380625"
"11441","11380625"
"11443","11380625"
"11445","11380625"
"11448","11380625"
"11449","11380625"
"11450","11380625"
"11451","11380625"
"11453","11380625"
"11454","11380625"
"11455","11380625"
"114557","11710641"
"11456","11380625"
"11457","11380625"
"11458","11380625"
"11459","11380625"
"11460","11380625"
"11461","11380625"
"11462","11380625"
"11463","11380625"
"11464","11380625"
"114646","11710641"
"11465","11380625"
"11466","11380625"
"114661","11680700"
"11467","11380625"
"11468","11380625"
"11469","11380625"
"11470","11380625"
"11471","11380625"
"11472","11380625"
"11473","11380625"
"11474","11380625"
"11475","11650530"
"11476","11380625"
"11477","11380625"
"11478","11380625"
"11479","11380625"
"11480","11380625"
"11481","11380625"
"11482","11380625"
"11485","11380625"
"11486","11380625"
"11487","11380625"
"11493","11380625"
"114952","11710641"
"11496","11380625"
"11497","11380625"
"11499","11380625"
"114993","11380600"
"114994","11740550"
"114995","11470560"
"115","11650510"
"11501","11380625"
"11502","11380625"
"11503","11380625"
"115032","11710641"
"11504","11380625"
"115046","11740550"
"11505","11380625"
"11506","11380625"
"11507","11380625"
"115073","11710641"
"11508","11380625"
"11509","11380625"
"11510","11380625"
"115100","11380600"
"115106","11740550"
"11511","11380625"
"115110","11680700"
"115111","11320680"
"11512","11380625"
"11513","11380625"
"11514","11380625"
"11515","11380625"
"11516","11380625"
"115160","11200690"
"11517","11380625"
"115171","11380600"
"115179","11740550"
"11518","11380625"
"115180","11710562"
"115184","11740550"
"115185","11740550"
"115186","11740550"
"11519","11380625"
"115197","11710631"
"11520","11380625"
"11521","11380625"
"115216","11740550"
"115217","11740550"
"115218","11740550"
"11522","11380625"
"11523","11380625"
"11524","11380625"
"11525","11380625"
"115254","11710631"
"11526","11380625"
"11527","11380625"
"11528","11380625"
"11529","11380625"
"11530","11380625"
"11531","11380625"
"115311","11320680"
"11532","11380625"
"115328","11470560"
"11533","11380625"
"11534","11380625"
"11535","11380625"
"11536","11380625"
"115368","11380600"
"11537","11380625"
"115378","11740550"
"115379","11740550"
"11539","11380625"
"11540","11380625"
"11541","11380625"
"11542","11380625"
"11543","11380625"
"11544","11380625"
"11545","11380625"
"11546","11380625"
"115468","11740550"
"11547","11380625"
"11548","11380625"
"115484","11740550"
"115485","11740550"
"115486","11740550"
"115487","11740550"
"11549","11380625"
"11550","11380625"
"11551","11380625"
"11552","11680740"
"11553","11380625"
"11554","11380625"
"11555","11470650"
"11557","11470510"
"11558","11470650"
"115581","11470570"
"11559","11380625"
"11560","11380625"
"11561","11380625"
"115624","11320680"
"11563","11380625"
"11564","11380625"
"11566","11380625"
"11567","11380625"
"11568","11380625"
"11571","11380625"
"11572","11380625"
"11573","11380625"
"11574","11380625"
"11575","11380625"
"11576","11380625"
"11577","11380625"
"11578","11380625"
"11579","11380625"
"11580","11380625"
"115804","11740550"
"11581","11380625"
"115818","11740550"
"115819","11740550"
"11583","11470510"
"11586","11380625"
"115861","11740550"
"11587","11380625"
"11588","11380625"
"11589","11380625"
"11590","11380625"
"11591","11380625"
"11592","11380625"
"11593","11380625"
"11594","11380625"
"11596","11380625"
"11598","11380625"
"11599","11380625"
"116","11650550"
"11600","11380625"
"11601","11380625"
"11602","11380625"
"11603","11380625"
"11604","11380625"
"116046","11740550"
"116047","11740550"
"11605","11380625"
"11606","11380625"
"116073","11740550"
"116074","11740550"
"11610","11380625"
"116115","11740550"
"116136","11320680"
"11614","11470510"
"116147","11650652"
"116158","11740550"
"116181","11740550"
"116182","11740550"
"116224","11740550"
"11623","11380625"
"11624","11380625"
"116247","11740550"
"11625","11470510"
"11626","11380625"
"11627","11380625"
"116281","11740550"
"11632","11470510"
"11633","11470510"
"11634","11470510"
"11635","11470510"
"11636","11680510"
"116369","11650652"
"11639","11470510"
"11641","11230545"
"11644","11470510"
"11645","11470510"
"11646","11470510"
"11647","11470510"
"11648","11470510"
"11650","11470510"
"11652","11470510"
"11653","11470510"
"116535","11650652"
"11654","11470510"
"11655","11470510"
"11656","11470510"
"11657","11470510"
"116572","11740550"
"116576","11740550"
"116577","11740550"
"11658","11470510"
"116591","11740550"
"11660","11470510"
"116607","11740550"
"11661","11470510"
"11662","11470510"
"116622","11740550"
"11663","11470510"
"116637","11740550"
"116638","11740550"
"11664","11470510"
"116656","11740550"
"116657","11740550"
"116658","11740550"
"116659","11740550"
"11666","11470510"
"11667","11470510"
"11668","11470510"
"11669","11470510"
"116697","11740550"
"11671","11470510"
"11672","11470510"
"11673","11470510"
"116734","11740550"
"11674","11470510"
"11676","11470510"
"11677","11470510"
"11678","11470510"
"11679","11470510"
"116797","11740550"
"11680","11470510"
"11681","11470510"
"116811","11740550"
"11682","11470510"
"11683","11470510"
"11684","11470510"
"11685","11470510"
"11686","11470510"
"11687","11470510"
"11688","11470510"
"11689","11470510"
"11690","11470510"
"11691","11470510"
"11692","11470510"
"11693","11470510"
"11694","11470510"
"11695","11470510"
"11696","11470510"
"116962","11740550"
"11697","11470510"
"116978","11740550"
"11698","11470510"
"11699","11470510"
"116992","11740550"
"116993","11740550"
